Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
Trap Line,6b+  *,TR &beta;,"ChloeJ, kishanvekaria",1 trainer and 1 climbing shoe. Not too much ankle pain.,06/Jan/22,Pinos,Sport,French,Spain
Castigo Divino,7b  **,Lead dog,"kishanvekaria, ChloeJ",Worked this and snapped my ankle on the 2nd go/1st redpoint. Hobbled back home. lol.,05/Jan/22,Escalada deportiva en Busot,Sport,French,Spain
Océano,7b+  **,Lead RP,ChloeJ,Great to get this done,03/Jan/22,Sella,Sport,French,Spain
Kamikaze,7b  ***,Lead dog,"ChloeJ, kishanvekaria",Failed onsight go. Brilliant wall climb and a pleasure to even attempt.,03/Jan/22,Sella,Sport,French,Spain
Seventh Samurai,6c  **,Lead O/S,kishanvekaria,Lovely wall climb but a rather run-out start!,03/Jan/22,Sella,Sport,French,Spain
Suero,7b  ***,Lead β,ChloeJ,,02/Jan/22,Castellet de Calp,Sport,French,Spain
Lockdown,6c+  *,Lead β,"GeorgT, ChloeJ, kishanvekaria, JayAyBee",,02/Jan/22,Castellet de Calp,Sport,French,Spain
Chasing the Dinosaur,7c  ***,Lead dog,"GeorgT, ChloeJ, kishanvekaria, JayAyBee",3 good goes but no cigar. Lovely route - one to come back for.,02/Jan/22,Castellet de Calp,Sport,French,Spain
A Bigger Tail,V6  **,-,,,???/2022,Water-cum-Jolly,Bouldering,Font,England
Propiedad privada,7c  *,Lead dog,"ChloeJ, JayAyBee",Didn&rsquo;t even get up the 7a+ version after 3 attempts. ,31/Dec/21,Sella,Sport,French,Spain
Océano,7b+  **,Lead dog,"JayAyBee, ChloeJ",Failed flash go turned into a working go. Lovely route with an amazing top section!,31/Dec/21,Sella,Sport,French,Spain
Sensación de pinzar,7c  ***,Lead dnf,"ChloeJ, kishanvekaria, Katiek, JayAyBee, Daniel Grout",Flash go. Got about 3/4 up and powered out  on the hard pinchy section. Good fight nonetheless and a stellar tufa climb!,30/Dec/21,Cabezon de Oro,Sport,French,Spain
Dragoste,7a+  ***,Lead dog,"ChloeJ, kishanvekaria, Katiek, JayAyBee, Daniel Grout",Learnt a lot about flash pump getting on this as the 1st route of the day!,30/Dec/21,Cabezon de Oro,Sport,French,Spain
Pitulicha,6c+  ***,Lead β,"ChloeJ, kishanvekaria, Katiek, JayAyBee, Daniel Grout",,30/Dec/21,Cabezon de Oro,Sport,French,Spain
Txoriburu,6b  **,Lead O/S,"ChloeJ, kishanvekaria, Katiek, JayAyBee, Daniel Grout",Lovely wall climb,30/Dec/21,Cabezon de Oro,Sport,French,Spain
Caleidoscopio,6a  ***,Lead O/S,Katiek,,29/Dec/21,Sella,Sport,French,Spain
Sonrisa Vertical,7a  ***,Lead O/S,Katiek,1st pitch only,29/Dec/21,Sella,Sport,French,Spain
El endemoniado,7a  ***,Lead O/S,,,29/Dec/21,Sella,Sport,French,Spain
La estación de la bruia,6c  ***,Lead β,Katiek,1st pitch only. Unbelievably f**king sharp!,29/Dec/21,Sella,Sport,French,Spain
Great White Starke,V3  **,Sent x,ChloeJ,"Really interesting problem with a good, high finish. Very spicy as I nearly slipped off matching the top due to the holds being really quite condensed!",19/Dec/21,Dinas Rock,Bouldering,Font,Wales
Byte Size Var 1,V1  ,Sent O/S,ChloeJ,,19/Dec/21,Dinas Rock,Bouldering,V-grades,Wales
V0-,V0-  ,Sent O/S,ChloeJ,,19/Dec/21,Dinas Rock,Bouldering,V-grades,Wales
Poodle Traverse,V3  *,Sent x,ChloeJ,"So I really should have flashed this but, on the 1st go, I got such a solid foot jam that I pumped out trying to get it out to do the next move!",19/Dec/21,Dinas Rock,Bouldering,Font,Wales
It's a Kind of Magic,7a+  ***,Lead RP,ChloeJ,Had a good go trying to onsight this but didn't quite get the crux right. Went next go. Not too much of a shame to tie back in for a 2nd time as the climbing is really good!,18/Dec/21,Cheddar Gorge North,Sport,French,England
Tied in Knots,6c  **,Lead dog,ChloeJ,Decent route. Fell off at the top - which is hard to read. Yet another failed attempt at warming up on a sandbagged 6c!,18/Dec/21,Cheddar Gorge South,Sport,French,England
I've Started,6c+  ,Lead dog,ChloeJ,"Hard, wierd boulder to start - followed by much easier but chossier and more-runout climbing for the remaining 15m. Not the best route in the gorge!",18/Dec/21,Cheddar Gorge South,Sport,French,England
Cracked up,V8  ***,Sent dnf,"richi3d10, Sid Sherborne","2nd session, some decent links but didn't get as far as hoped.",11/Dec/21,Forest Rock,Bouldering,Font,England
Hard Karma,V8  **,Sent dnf,Sid Sherborne,"Got quite close on this in the 2-3hrs we had to try it. Then got rained off! Tried normal Karma briefly but found it very awkward and opted to try this more physical but basic eliminate.
",11/Dec/21,Cademan Wood and Broad Hill,Bouldering,Font,England
Scoop Dragon,V5  **,Sent x,"Will Dougie, JasperBWilliams, EGriffin","Phenomenal problem, 5 stars.",05/Dec/21,Ogmore Bouldering,Bouldering,Font,Wales
Travesty left,V5+  *,Sent x,"Guy Baker, Will Dougie, EddieTJ, JasperBWilliams, EGriffin, Sid Sherborne, Niamh Gibson",Great little jump,05/Dec/21,Ogmore Bouldering,Bouldering,Font,Wales
Arete,V1  ,Sent β,"MarleneR, Guy Baker, Will Dougie, JasperBWilliams, EGriffin, Niamh Gibson","Climbed this or ""Corner"" as first problem of the day - along with rest of the crew. Not actually sure which one I did ",05/Dec/21,Ogmore Bouldering,Bouldering,Font,Wales
Gentle Jess Crouch Start,V5+  ***,Sent x,"ChloeJ, Will Dougie, EddieTJ, JasperBWilliams, EGriffin, Sid Sherborne, Niamh Gibson",Savage problem rather tamed with a kneebar,04/Dec/21,Dinas Rock,Bouldering,Font,Wales
Launch Pad,V5  ***,Sent β,"ChloeJ, Will Dougie, EddieTJ, EGriffin, Sid Sherborne",Great single move,04/Dec/21,Dinas Rock,Bouldering,Font,Wales
Bilberry,V4+  ***,Sent dnf,"ChloeJ, EGriffin, Sid Sherborne",Maybe did this but likely improperly and sort of in the rain,04/Dec/21,Bilberry Boulders,Bouldering,Font,Wales
Monkey Boy,V4  *,Sent β,"Guy Baker, clarajones, ChloeJ, Will Dougie, EddieTJ, Sid Sherborne",,04/Dec/21,Dinas Rock,Bouldering,Font,Wales
Enchantress,V9  ***,Sent x,"richi3d10, Sid Sherborne, Niamh Gibson",4th Session. First 7C. Psyched!,28/Nov/21,Forest Rock,Bouldering,Font,England
Spring on a Thing,V7  ,Sent x,"Kiera L, Will Dougie, JasperBWilliams, EGriffin, Sid Sherborne",Got this 2nd go after doing the stand. Cool problem and can’t believe I managed the dyno twice!,21/Nov/21,Birchen Edge,Bouldering,Font,England
Thing on a Spring,V6  **,Sent x,"Kiera L, richi3d10, Will Dougie, JasperBWilliams, EGriffin, Sid Sherborne", Very pleased to do this - usually find dynamic short problems to be completely stopper,21/Nov/21,Birchen Edge,Bouldering,Font,England
Gritstone Megamix,V6  ***,Sent dnf,"richi3d10, Will Dougie",Hell of a problem. Kept on getting to the match but could not make it to the final crimps and break. Keen to try again fresh.,21/Nov/21,Birchen Edge,Bouldering,Font,England
Hornblower,V5  ***,Sent β,"Nicole Roberts, ChrisLeigh19, hnorman, richi3d10, Will Dougie, EGriffin, Sid Sherborne, Niamh Gibson",Found a good flow on this - guess it’s my style!,21/Nov/21,Birchen Edge,Bouldering,Font,England
Technical Genius,V6  **,Sent dnf,"Will Dougie, richi3d10, Sid Sherborne",Either I was wrecked at the end of the day or this is really hard. I suspect both.,21/Nov/21,Birchen Edge,Bouldering,Font,England
Kiss Me Arse Stand-start,V3  *,Sent β,Sid Sherborne,,21/Nov/21,Birchen Edge,Bouldering,Font,England
Boyager,V7  **,Sent x,"Nicole Roberts, Kiera L, ChrisLeigh19, hnorman, Pawan Limbu, Charlie Henderson, Sid Sherborne, Niamh Gibson",Absolutely wicked problem. Not done much compression but got psyched to fight up this 4th or 5th go after witnessing Sid’s impressive flash!,20/Nov/21,Burbage North,Bouldering,Font,England
Hanging Wall Stand-start,V5  *,Sent rpt,ChrisLeigh19,,20/Nov/21,Burbage North,Bouldering,Font,England
Hanging Wall,V6  **,Sent x,"ChrisLeigh19, richi3d10, Charlie Henderson, EGriffin, Sid Sherborne",Good to put this to bed after some freezing nights trying it,20/Nov/21,Burbage North,Bouldering,Font,England
Monochrome,V8  ***,Sent dnf,"Pawan Limbu, ChloeJ",Got very tired trying this at the end of the day. Found it frustratingly hard to place the heel or slap up the left ar&ecirc;te.,20/Nov/21,Burbage North,Bouldering,Font,England
Ripple Riser,V4  *,Sent β,"Pawan Limbu, ChloeJ",Lovely line but with some stiff pulls and a scary finish,20/Nov/21,Burbage North,Bouldering,Font,England
Basher's Problem Right-Hand,V7  ,Sent dnf,"Pawan Limbu, ChloeJ",Good to work this out but couldn&rsquo;t put it all together - I&rsquo;ll blame being absolutely wrecked from a comp yesterday.,14/Nov/21,Raven Tor (Miller's Dale),Bouldering,Font,England
Jerry's Roof,V9  ***,Sent dnf,"Will Dougie, richi3d10, Niamh Gibson, Sid Sherborne","2nd session on this (after short evening one on July PYC trip). Did and linked all moves either side of the crux swing. Need to go back fresh, dial the crux and put it all together!",07/Nov/21,Cromlech boulders,Bouldering,Font,Wales
Left Wall Traverse,V8  ***,Sent dnf,,Great to try this after doing the 7a start. Had one good go and tried really hard but was then utterly wrecked for the rest of the day.,06/Nov/21,Parisella's Cave,Bouldering,V-grades,Wales
Left Wall Traverse (horizontal shothole start),V6  *,Sent x,"Sid Sherborne, David Parmenter, Alban Luffman, richi3d10, hnorman, Niamh Gibson, ChrisLeigh19, Guy Baker",,06/Nov/21,Parisella's Cave,Bouldering,V-grades,Wales
Tight Hole,V7  ,Sent dnf,Sid Sherborne,Close on this. Keen to come back with just a bit more lock on the right arm and a healthier ring finger.,31/Oct/21,Roche Abbey,Bouldering,Font,England
Justice,V6  *,Sent x,"Pawan Limbu, ChloeJ, Sid Sherborne, Niamh Gibson",Great to finish this off. Rare example of utterly bomber toe hooks!,31/Oct/21,Roche Abbey,Bouldering,Font,England
Sundance,V5+  **,Sent rpt,"Pawan Limbu, ChloeJ, Sid Sherborne, Niamh Gibson",Retroflash - if that counts after only a year?,31/Oct/21,Roche Abbey,Bouldering,Font,England
Bad Habits Sit Start,V6  ***,Sent x,"Pawan Limbu, ChloeJ, Sid Sherborne, Niamh Gibson",2nd or 3rd try this time round.,31/Oct/21,Roche Abbey,Bouldering,Font,England
Faith Right Hand,V6  ,Sent x,"Pawan Limbu, ChloeJ, Sid Sherborne, Niamh Gibson",Good problem,31/Oct/21,Roche Abbey,Bouldering,Font,England
Faithless Right Hand,V6  ,Sent x,"Pawan Limbu, ChloeJ, Sid Sherborne, Niamh Gibson",Great problem and last of a great day. Definitely felt like it could be 7A+ but I did claw my way up this at the end of the session,31/Oct/21,Roche Abbey,Bouldering,Font,England
Enchantress,V9  ***,Sent dnf,"richi3d10, Jack Palmieri, Sid Sherborne, Niamh Gibson",3rd session. Did the final move - game on!,30/Oct/21,Forest Rock,Bouldering,Font,England
Cracked up,V8  ***,Sent dnf,"richi3d10, Jack Palmieri, Sid Sherborne, Niamh Gibson",Great to get on this. More or less worked out every move - just need to go back and start trying properly.,30/Oct/21,Forest Rock,Bouldering,Font,England
Enchantress,V9  ***,Sent dnf,"Niamh Gibson, Will Dougie, Sid Sherborne",2nd session. Good links but yet to do final move,24/Oct/21,Forest Rock,Bouldering,Font,England
Raw Deal,7a  **,Lead β,"Weronika-maksym, Adam Patterson, Francesco Di Lallo",,23/Oct/21,Cheddar Gorge North,Sport,French,England
Insatiable,7b+  *,Lead RP,"Weronika-maksym, Adam Patterson, Francesco Di Lallo","4th go. Interesting climb with a wierd, strenuous and techy upper half",23/Oct/21,Cheddar Gorge North,Sport,French,England
Islands in the City,7a+  ,Lead β,"Weronika-maksym, Adam Patterson, Francesco Di Lallo",,23/Oct/21,Cheddar Gorge North,Sport,French,England
Amphora,7b  ***,Lead β,"EddieTJ, ChloeJ",Great last route of the trip!,16/Oct/21,Odyssey,Sport,French,Greece
Fouska,7a+  **,Lead RP,"kishanvekaria, Pawan Limbu","Brilliant burly corner madness. Shame about the chain grab! Great climb despite this, however.",16/Oct/21,Odyssey,Sport,French,Greece
Lucky Luca,7b  **,Lead O/S,"Pawan Limbu, EddieTJ, kishanvekaria, ChloeJ",Good fun!,15/Oct/21,Odyssey,Sport,French,Greece
Marci Marc,7c+  ***,Lead dog,EddieTJ,"Would have been nice to do this. Had a working go and 1 convincing redpoint but then got really tired really quickly, end of trip fatigue!",15/Oct/21,Odyssey,Sport,French,Greece
Daniboy,8a  ***,Lead RP,"Pawan Limbu, kishanvekaria, EddieTJ, ChloeJ",1st 8a!!!! Got this 6th Redpoint (worked over two days). Amazing route done on an amazing trip!,14/Oct/21,Spartacus Area,Sport,French,Greece
Daniboy,8a  ***,Lead dog,EddieTJ,Great to start trying this. Hell of a route!,12/Oct/21,Spartacus Area,Sport,French,Greece
Kerveros,7a  ***,Lead dog,,Really lovely route - just wish I hadn&rsquo;t misread the crux!,10/Oct/21,Spartacus Area,Sport,French,Greece
Trela,7a  ***,Lead O/S,"ChloeJ, EddieTJ",Utterly exhausting but pretty good!,10/Oct/21,Grande Grotta Area,Sport,French,Greece
Spartacus,7b+  ***,Lead RP,EddieTJ,2nd go. Desperate fight and possibly the most pumped I have been.,09/Oct/21,Spartacus Area,Sport,French,Greece
Mon Batchounousougounoudoudou,7a  ***,Lead β,EddieTJ,,09/Oct/21,Spartacus Area,Sport,French,Greece
Great Peter,E1 5b **,Lead O/S,lo22,With 5c start. Interesting route with good delicate moves and a sustained top.,03/Oct/21,Lawrencefield,Trad,British,England
The Long Goodbye,7b+  ***,Lead dog,EddieTJ,"Stunning climb, shame I wasn’t fresh enough to RP after trying so hard the previous day. Keen to get back!",26/Sep/21,Castell y Gwynt,Sport,French,Wales
The Bandits,7b+  ***,Lead RP,EddieTJ,"Really intense but great, glad to get this within the day. Redpoint go was one of the closest fights I can remember and all the better with it not being my style.",25/Sep/21,Dinbren Crags,Sport,French,Wales
Technicolour Yawn,7a+  ***,Lead dog,EddieTJ,"Cool route. I expended my entire day's energy on ""The Bandits"" though so no cigar.",25/Sep/21,Dinbren Crags,Sport,French,Wales
Boat People,7c  ***,Lead dog,EddieTJ,Great to discover the Diamond for the first time. Unfortunately I didn't get up this because I do NOT learn from my mistakes and trained too hard the previous day. Also did not consume any caffeine despite normal daily intake and had a pounding headache all day. Very keen to come back in a more reasonable state.,19/Sep/21,The Diamond,Sport,French,Wales
Tufa King Hard,6c  ***,Lead O/S,EddieTJ,"Brilliant climb, very unique for the U.K.",12/Sep/21,Chapel Head Scar,Sport,French,England
More Games,7b  ***,Lead RP,EddieTJ,"2nd go. Powerful, open-handed start - good to work my weaknesses. Nicely contrasted by a lovely, adventurous upper wall.",12/Sep/21,Chapel Head Scar,Sport,French,England
Interstellar Overdrive,6c+  ***,Lead dog,EddieTJ,Great name. Not a great warm up! Thought this was realistically more like 1 star.,12/Sep/21,Chapel Head Scar,Sport,French,England
Pop for the Top,V6  ***,Sent x,"Peter Jordan, EddieTJ",,05/Sep/21,Biblins Cave,Bouldering,Font,England
The Bulge,V6  **,Sent dnf,"Peter Jordan, EddieTJ",Agonisingly close but no cigar,05/Sep/21,Biblins Cave,Bouldering,Font,England
Just Revenge,7c+  ***,Lead dog,EddieTJ,"Really frustrating to not get this on the last day of the trip, despite loads of convincing redpoint attempts.",04/Sep/21,Anstey's Cove,Sport,French,England
Pink Floyd,V6  *,Sent x,EddieTJ,"2nd go. Great problem, great band.",02/Sep/21,Tintagel North,Bouldering,Font,England
Man O' War,V5+  *,Sent O/S,EddieTJ,Really cool couple of moves!,02/Sep/21,Tintagel North,Bouldering,Font,England
The Apprentice,V7  **,Sent dnf,EddieTJ,Started trying this but just found the fingerlock too painful - even with tape. Need to find tougher tape or a different strategy.,02/Sep/21,Tintagel North,Bouldering,Font,England
Just Revenge,7c+  ***,Lead dog,EddieTJ,Day 3. Lots of smooth redpoints where I just got spat off the crux. Found Eddie’s new way easier tho.,01/Sep/21,Anstey's Cove,Sport,French,England
Just Revenge,7c+  ***,Lead dog,EddieTJ,Worked Avenged previously for 1 day. Good to get on this more independent line. Had a working go and then 2 redpoint attempts.,30/Aug/21,Anstey's Cove,Sport,French,England
Crossing the Tea,6c+ S0 *,DWS β,"Peter Jordan, EddieTJ","Felt this was a logical way up the buttress. First proper DWS, fun!",29/Aug/21,Berry Head - Coastguard Cliffs,Sport,French,England
Oz Wall Traverse,6b+  ***,DWS β,EddieTJ,"Brilliant excursion, did right - left first. Thanks to Eddie for leading the way and working out the very comitting crux (in this direction).",29/Aug/21,Berry Head - Coastguard Cliffs,Sport,French,England
Oz Wall Traverse,6b+  ***,DWS rpt,EddieTJ,"Done in reverse (left - right, looking at the route) immediately after the first time. Too good to do just once?",29/Aug/21,Berry Head - Coastguard Cliffs,Sport,French,England
Taipan Oooh Taipan,7a+ S0 **,DWS dnf,"Peter Jordan, EddieTJ",Binned it after getting wrong handed. One to come back for!,29/Aug/21,Berry Head - Coastguard Cliffs,Sport,French,England
Rainbow Bridge,7a+  ***,DWS O/S,"Peter Jordan, EddieTJ","Absolutely amazing!!!
Did the crux and finished with the solo up the groove (HIGH).
Felt like some of the best quality climbing I have done to date.",29/Aug/21,Berry Head - The Old Redoubt,Sport,French,England
Mr Potato Bottom,7a  ,2nd dog,EddieTJ,"Lol, felt incredibly tired this day and didn't get on great with the conglomerate. Should redeem myself at some point.",28/Aug/21,Potato Head,Sport,French,England
Purple Haze Right,V5  ***,Sent rpt,EddieTJ,Supposed to be a rest day. Nice problem though and the only one I did that day.,27/Aug/21,Tintagel North,Bouldering,Font,England
Devil's Haircut,7c  ***,Lead dog,EddieTJ,Glad to get close to doing this in a day. One to come back for fresh.,15/Aug/21,Pantymwyn (Devil's Gorge),Sport,French,Wales
The Kid,V6  **,Sent x,Sid Sherborne,"Did the sit-start but using the better, higher left hand (juggy sidepull not the crap sloper). With the Kneebar too. Fun climb, not sure if this is the strict way but enjoyed regardless.",14/Aug/21,Robin Hood's Stride,Bouldering,Font,England
T Crack,V8  ***,Sent dnf,Sid Sherborne,Hard in summer.,14/Aug/21,Cratcliffe Tor,Bouldering,Font,England
Dry Wit in a Wet Country,V6  ***,Sent dnf,"James Mabon, SandyJJS, Sid Sherborne",Fell/scraped off several times going for the crack. Brilliant technical climbing and keen to try and finish this in colder months.,14/Aug/21,Robin Hood's Stride,Bouldering,Font,England
Spellbound,V7  ***,Sent dnf,"Niamh Gibson, Sid Sherborne",First proper session on this. Pleased to get 3-4 moves from the top. Very crimpy  and quite scary!,12/Aug/21,Peakstone Inn Amphitheatre,Bouldering,Font,England
The Ashes,7c+  ***,Lead RP,EddieTJ,Didn't think sport routes got this good in the U.K. Absolutely phenomenal!,08/Aug/21,Kilnsey,Sport,French,England
